label,desc,thr,n,n_pos,pred_pos,tp,fp,fn,prevalence,alert_rate,ppv,ppv_lo,ppv_hi,recall,rec_lo,rec_hi,f1,baseline_ppv,baseline_recall,baseline_f1,op
J4590,,,7211,64.0,1341.0,25,1316,38,0.008827238335435,0.18596588545278048,0.018642803877703208,0.012659115770897232,0.02737642780009609,0.390625,0.2805556918824008,0.5130808211972754,0.03558718861209965,0.008827238335435,0.18596588545278048,0.016854447027982913,ppv30
E039,,,7211,79.0,356.0,12,344,66,0.0109289617486338,0.04936901955345999,0.033707865168539325,0.01938559664122019,0.057985862756312095,0.1518987341772152,0.08908267892631742,0.24699854437704644,0.05517241379310345,0.0109289617486338,0.04936901955345999,0.017896192032172825,ppv30
I214,,,7211,50.0,69.0,4,65,45,0.0068656298164494,0.009568714464013313,0.057971014492753624,0.02277238888037121,0.13979243357661653,0.08,0.03154951408859298,0.18838246918342838,0.06722689075630252,0.0068656298164494,0.009568714464013313,0.007994873444061837,ppv30
E875,,,7211,67.0,343.0,22,321,44,0.0092475830180748,0.0475662182776314,0.0641399416909621,0.04273520179060222,0.09519945856794107,0.3283582089552239,0.22791317376089593,0.44741818752268525,0.1073170731707317,0.0092475830180748,0.0475662182776314,0.015484707671250557,ppv30
F419,,,7211,78.0,508.0,16,492,61,0.0107888468544206,0.0704479267785328,0.031496062992125984,0.019478369478705147,0.05054616292879944,0.20512820512820512,0.13039795219832023,0.307539730452461,0.05460750853242321,0.0107888468544206,0.0704479267785328,0.01871201573462573,ppv30
E7800,,,7211,64.0,1049.0,34,1015,29,0.008827238335435,0.14547219525724586,0.032411820781696854,0.023285654899790238,0.04495012572872432,0.53125,0.41072087051471007,0.6482401257482395,0.06109613656783468,0.008827238335435,0.14547219525724586,0.016644490635065533,ppv30
I213,,,7211,44.0,3.0,2,1,42,0.0061650553453832,0.00041603106365275275,0.6666666666666666,0.2076596008020477,0.9385080552796037,0.045454545454545456,0.012555109949594967,0.15134998437629657,0.08510638297872342,0.0061650553453832,0.00041603106365275275,0.0007794623481303237,ppv30
R0902,,,7211,69.0,207.0,6,201,62,0.0095278128065013,0.02870614339203994,0.028985507246376812,0.013350613023979937,0.06178384539468512,0.08695652173913043,0.040463621201533975,0.1770149833894218,0.043478260869565216,0.0095278128065013,0.02870614339203994,0.014307008106389789,ppv30
E785,,,7211,52.0,1465.0,23,1442,28,0.0071458596048759,0.20316183608376093,0.015699658703071672,0.010484047893509218,0.023448449396369104,0.4423076923076923,0.3159505681940129,0.5766023821279712,0.030323005932762027,0.0071458596048759,0.20316183608376093,0.013806113494512573,ppv30
E876,,,7211,54.0,577.0,9,568,44,0.0074260893933025,0.08001664124254611,0.01559792027729636,0.008227407072378795,0.029375726259459674,0.16666666666666666,0.09024391642997268,0.2873651422972916,0.028526148969889063,0.0074260893933025,0.08001664124254611,0.013590854871482169,ppv30
